price,room_count,toilet_count,size,heating_type,building_age,building_type,neighborhood,floor
2.475.000,2 + 1,1,/ 95 m2,Kombi,Sıfır,Daire,Beylikdüzü,2. Kat
1.300.000,2 + 1,1,/ 105 m2,Kombi,2,Daire,Esenyurt,Bahçe Katı
1.375.000,1 + 1,1,/ 75 m2,Kombi,3,Daire,Esenyurt,Bahçe Katı
1.335.000,1 + 1,1,/ 65 m2,Kombi,1,Daire,Esenyurt,3. Kat
1.575.000,2 + 1,1,/ 85 m2,Kombi,1,Daire,Esenyurt,3. Kat
985.000,1 + 0,1,/ 40 m2,Kombi,9,Daire,Esenyurt,Ara Kat
2.270.000,2 + 1,1,/ 75 m2,Kombi,7,Daire,Beylikdüzü,Zemin
15.500.000,4 + 1,2,/ 115 m2,Kombi,Sıfır,Daire,Üsküdar,Çatı Katı
20.000.000,5 + 2,2,/ 180 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,Çatı Katı
9.750.000,3 + 1,2,/ 81 m2,Kombi,32,Daire,Adalar,3. Kat
4.350.000,3 + 1,1,/ 132 m2,Kombi,25,Daire,Beylikdüzü,6. Kat
13.750.000,2 + 1,2,/ 73 m2,Merkezi (Pay Ölçer),Sıfır,Daire,Kadıköy,11. Kat
13.900.000,2 + 1,1,/ 75 m2,Kombi,5,Daire,Kadıköy,4. Kat
2.600.000,2 + 1,1,/ 90 m2,Kombi,26,Daire,Bağcılar,Yüksek Giriş
11.850.000,3 + 1,2,/ 100 m2,Merkezi (Pay Ölçer),3,Daire,Zeytinburnu,5. Kat
1.370.000,1 + 1,1,/ 85 m2,Kombi,8,Daire,Beylikdüzü,6. Kat
7.500.000,3 + 1,1,/ 100 m2,Kombi,38,Daire,Kadıköy,4. Kat
1.579.999,2,N/A,N/A,Uygun,Kombi,Daire,Esenyurt,4 Yaşında
2.884.000,1,N/A,N/A,Uygun,Kombi,Daire,Beylikdüzü,Sıfır Bina
4.790.000,1,N/A,N/A,Uygun değil,Kombi,Daire,Beylikdüzü,5 Yaşında
5.045.000,2,N/A,N/A,Uygun değil,Kombi,Daire,Beylikdüzü,5 Yaşında
3.399.000,2 + 1,1,/ 100 m2,Kombi,Sıfır,Daire,Beylikdüzü,2. Kat
3.190.000,5 + 1,1,/ 185 m2,Kombi,Sıfır,Daire,Esenyurt,Giriş Katı
2.580.000,2 + 1,1,/ 90 m2,Kombi,2,Daire,Esenyurt,Giriş Katı
9.799.000,3 + 1,2,/ 135 m2,Kombi,5,Daire,Beylikdüzü,2. Kat
999.000,2 + 1,1,/ 100 m2,Kombi,2,Daire,Esenyurt,Bahçe Katı
7.599.999,3 + 2,2,/ 255 m2,Kombi,Sıfır,Daire,Beylikdüzü,3. Kat
1.249.999,1,N/A,N/A,Uygun,Merkezi,Daire,Esenyurt,3 Yaşında
49.750.000,6 + 3,6,/ 400 m2,Doğalgaz,Kombi,Villa,Büyükçekmece,Sıfır Bina
4.050.000,2,N/A,N/A,Uygun,Merkezi,Residence,Esenyurt,5 Yaşında
1.149.000,2 + 1,2,/ 100 m2,Kombi,3,Daire,Esenyurt,Bahçe Katı
8.200.000,3 + 1,1,/ 63 m2,Kombi,38,Daire,Adalar,2. Kat
3.899.999,2 + 1,1,/ 95 m2,Kombi,4,Daire,Beylikdüzü,3. Kat
12.800.000,2,N/A,N/A,Uygun değil,Merkezi,Daire,Küçükçekmece,Sıfır Bina
19.500.000,1 + 1,1,/ 83 m2,Merkezi (Pay Ölçer),5,Residence,Şişli,Ara Kat
3.500.000,1,N/A,N/A,Uygun,Kombi,Daire,Pendik,31 Yaşında
123.500.000,5 + 1,5,/ 290 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,Bahçe Katı
1.259.999,2 + 1,1,/ 100 m2,Kombi,3,Daire,Esenyurt,Bahçe Katı
2.499.999,2 + 1,1,/ 105 m2,Kombi,Sıfır,Daire,Esenyurt,2. Kat
2.975.000,1,N/A,N/A,Uygun,Kombi,Daire,Esenyurt,11 Yaşında
9.800.000,2,N/A,N/A,Uygun,Kombi,Daire,Pendik,20 Yaşında
7.750.000,2,N/A,N/A,Uygun,Yerden,Daire,Şile,Sıfır Bina
19.500.000,3,N/A,N/A,Uygun,Yerden,Villa,Şile,Sıfır Bina
14.950.000,3 + 1,2,/ 110 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,1. Kat
2.699.999,2 + 1,1,/ 105 m2,Kombi,Sıfır,Daire,Beylikdüzü,2. Kat
3.125.000,2 + 1,1,/ 85 m2,Kombi,28,Daire,Zeytinburnu,3. Kat
20.500.000,3 + 1,2,/ 140 m2,Merkezi (Pay Ölçer),35,Daire,Beşiktaş,3. Kat
3.000.000,2 + 1,2,/ 105 m2,Kombi,Sıfır,Daire,Beylikdüzü,2. Kat
2.349.999,1,N/A,N/A,Uygun,Kombi,Daire,Beylikdüzü,Sıfır Bina
3.599.000,3 + 1,2,/ 185 m2,Kombi,Sıfır,Daire,Beylikdüzü,3. Kat
2.199.999,2 + 1,1,/ 110 m2,Kombi,Sıfır,Daire,Beylikdüzü,Ara Kat
3.899.999,3 + 1,2,/ 145 m2,Kombi,Sıfır,Daire,Beylikdüzü,1. Kat
25.000.000,3 + 1,2,/ 140 m2,Merkezi,31,Daire,Bakırköy,2. Kat
19.200.000,3 + 1,2,/ 120 m2,Merkezi,10,Daire,Bakırköy,Bahçe Katı
3.500.000,2 + 1,1,/ 108 m2,Kombi,31,Daire,Şişli,En Üst Kat
5.249.000,5 + 2,3,/ 215 m2,Kombi,Sıfır,Daire,Beylikdüzü,5. Kat
5.649.000,3 + 2,1,/ 220 m2,Kombi,Sıfır,Daire,Beylikdüzü,4. Kat
3.399.900,2 + 1,2,/ 105 m2,Kombi,7,Daire,Esenyurt,2. Kat
7.950.000,1 + 1,1,/ 70 m2,Kombi,15,Daire,Maltepe,6. Kat
49.500.000,5 + 2,3,/ 270 m2,Doğalgaz,Kombi,Villa,Beşiktaş,35 Yaşında
35.000.000,2,N/A,N/A,Uygun,Merkezi,Daire,Beşiktaş,20 Yaşında
79.000.000,5 + 1,3,/ 250 m2,Yerden Isıtma,31,Daire,Beşiktaş,6. Kat
5.450.000,2 + 1,1,/ 100 m2,Kombi,1,Daire,Beylikdüzü,4. Kat
76.000.000,5,N/A,N/A,Uygun değil,Yerden,Villa,Büyükçekmece,16 Yaşında
2.370.000,3,N/A,N/A,Uygun,Kombi,Daire,Beylikdüzü,3 Yaşında
2.999.000,3 + 1,1,/ 120 m2,Kombi,5,Daire,Esenyurt,2. Kat
4.749.000,3 + 2,2,/ 175 m2,Kombi,Sıfır,Daire,Beylikdüzü,4. Kat
10.500.000,2,N/A,N/A,Doğalgaz,Kombi,Daire,Adalar,25 Yaşında
2.500.000,1,N/A,N/A,Uygun,Kombi,Daire,Esenyurt,16 Yaşında
18.750.000,3 + 1,1,/ 125 m2,Kombi,5,Daire,Kadıköy,9. Kat
17.900.000,4 + 1,4,/ 191 m2,Isıtma Yok,34,Daire,Adalar,3. Kat
8.900.000,1 + 1,1,/ 46 m2,Merkezi,15,Daire,Kadıköy,6. Kat
1.700.000,1,N/A,N/A,Uygun değil,Doğalgaz,Daire,Avcılar,26 Yaşında
61.000.000,4 + 1,3,/ 196 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,1. Kat
45.000.000,2,N/A,N/A,Doğalgaz,Merkezi,Daire,Üsküdar,Sıfır Bina
44.750.000,3 + 1,2,/ 179 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,1. Kat
88.000.000,5 + 1,6,/ 295 m2,Yerden Isıtma,Sıfır,Daire,Üsküdar,3. Kat
38.000.000,2 + 1,2,/ 110 m2,Yerden Isıtma,1,Daire,Üsküdar,Giriş Katı
3.120.000,3 + 1,3,/ 125 m2,Kat Kaloriferi,10,Daire,Esenyurt,Ara Kat
4.290.000,2 + 1,1,/ 90 m2,Kombi,7,Daire,Bahçelievler,3. Kat
14.500.000,4 + 2,3,/ 153 m2,Kombi,Sıfır,Daire,Maltepe,4. Kat
13.900.000,4 + 1,2,/ 126 m2,Kombi,Sıfır,Daire,Maltepe,4. Kat
12.000.000,5 + 2,3,/ 178 m2,Kombi,12,Daire,Maltepe,4. Kat
8.950.000,3 + 1,2,/ 128 m2,Kombi,24,Daire,Maltepe,1. Kat
4.650.000,1,N/A,N/A,Uygun,Merkezi,Daire,Pendik,10 Yaşında
5.250.000,1,N/A,N/A,Uygun,Kombi,Daire,Kadıköy,31 Yaşında
1.650.000,2 + 1,1,/ 70 m2,Kombi,6,Daire,Arnavutköy,Bahçe Katı
