price,toilet_count,heating_type,building_age,building_type,neighborhood,floor,bedrooms,living_rooms,size
2475000.0,1.0,Kombi,9.0,Daire,Beylikdüzü,2.0,2,1,95.0
1300000.0,1.0,Kombi,2.0,Daire,Esenyurt,-1.0,2,1,105.0
1375000.0,1.0,Kombi,3.0,Daire,Esenyurt,-1.0,1,1,75.0
1335000.0,1.0,Kombi,1.0,Daire,Esenyurt,3.0,1,1,65.0
1575000.0,1.0,Kombi,1.0,Daire,Esenyurt,3.0,2,1,85.0
985000.0,1.0,Kombi,9.0,Daire,Esenyurt,3.0,1,0,40.0
2270000.0,1.0,Kombi,7.0,Daire,Beylikdüzü,0.0,2,1,75.0
15500000.0,2.0,Kombi,9.0,Daire,Üsküdar,99.0,4,1,115.0
20000000.0,2.0,Yerden Isıtma,9.0,Daire,Üsküdar,99.0,5,2,180.0
9750000.0,2.0,Kombi,32.0,Daire,Adalar,3.0,3,1,81.0
4350000.0,1.0,Kombi,25.0,Daire,Beylikdüzü,6.0,3,1,132.0
13750000.0,2.0,Merkezi (Pay Ölçer),9.0,Daire,Kadıköy,11.0,2,1,73.0
13900000.0,1.0,Kombi,5.0,Daire,Kadıköy,4.0,2,1,75.0
2600000.0,1.0,Kombi,26.0,Daire,Bağcılar,0.0,2,1,90.0
11850000.0,2.0,Merkezi (Pay Ölçer),3.0,Daire,Zeytinburnu,5.0,3,1,100.0
1370000.0,1.0,Kombi,8.0,Daire,Beylikdüzü,6.0,1,1,85.0
7500000.0,1.0,Kombi,38.0,Daire,Kadıköy,4.0,3,1,100.0
1579999.0,2.0,Uygun,9.0,Daire,Esenyurt,3.0,2,0,105.0
2884000.0,2.0,Uygun,9.0,Daire,Beylikdüzü,3.0,1,0,105.0
4790000.0,2.0,Uygun değil,9.0,Daire,Beylikdüzü,3.0,1,0,105.0
5045000.0,2.0,Uygun değil,9.0,Daire,Beylikdüzü,3.0,2,0,105.0
3399000.0,1.0,Kombi,9.0,Daire,Beylikdüzü,2.0,2,1,100.0
3190000.0,1.0,Kombi,9.0,Daire,Esenyurt,0.0,5,1,185.0
2580000.0,1.0,Kombi,2.0,Daire,Esenyurt,0.0,2,1,90.0
9799000.0,2.0,Kombi,5.0,Daire,Beylikdüzü,2.0,3,1,135.0
999000.0,1.0,Kombi,2.0,Daire,Esenyurt,-1.0,2,1,100.0
7599999.0,2.0,Kombi,9.0,Daire,Beylikdüzü,3.0,3,2,255.0
1249999.0,2.0,Uygun,9.0,Daire,Esenyurt,3.0,1,0,105.0
49750000.0,6.0,Doğalgaz,9.0,Villa,Büyükçekmece,3.0,6,3,400.0
4050000.0,2.0,Uygun,9.0,Residence,Esenyurt,3.0,2,0,105.0
1149000.0,2.0,Kombi,3.0,Daire,Esenyurt,-1.0,2,1,100.0
8200000.0,1.0,Kombi,38.0,Daire,Adalar,2.0,3,1,63.0
3899999.0,1.0,Kombi,4.0,Daire,Beylikdüzü,3.0,2,1,95.0
12800000.0,2.0,Uygun değil,9.0,Daire,Küçükçekmece,3.0,2,0,105.0
19500000.0,1.0,Merkezi (Pay Ölçer),5.0,Residence,Şişli,3.0,1,1,83.0
3500000.0,2.0,Uygun,9.0,Daire,Pendik,3.0,1,0,105.0
123500000.0,5.0,Yerden Isıtma,9.0,Daire,Üsküdar,-1.0,5,1,290.0
1259999.0,1.0,Kombi,3.0,Daire,Esenyurt,-1.0,2,1,100.0
2499999.0,1.0,Kombi,9.0,Daire,Esenyurt,2.0,2,1,105.0
2975000.0,2.0,Uygun,9.0,Daire,Esenyurt,3.0,1,0,105.0
